eps_over_Jo,eps,tau,P,W_tls,Wad_tls,L_tls,Wnorm_tls
0.0,0.0,94.71926399356356,1.3756881479980773e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,98.52856023452543,3.7590672309742454e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,102.4910538002934,2.171376578907086e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,106.6129057817468,4.026574249867404e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,110.9005250485101,7.87646286487716e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,115.3605782137954,2.4411114322539028e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,120.0,2.1295697517983684e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.05,0.0011238512040398164,0.5,0.002579880451688135,0.002539920890733274,0.002594673072598777,0.02122275930641519,0.9788982348320807
0.05,0.0011238512040398164,0.5201083500882184,0.0025798797871090166,0.0025399209048374764,0.002594673072598777,0.02122275930641519,0.9788982402679111
0.05,0.0011238512040398164,0.5410253916629775,0.002579879067994808,0.0025399209200990644,0.002594673072598777,0.02122275930641519,0.9788982461498035
0.05,0.0011238512040398164,0.5627836476273268,0.0025798782898791943,0.002539920936612825,0.002594673072598777,0.02122275930641519,0.9788982525142895
0.05,0.0011238512040398164,0.5854169488481564,0.0025798774479262117,0.00253992095448139,0.002594673072598777,0.02122275930641519,0.978898259400924
0.05,0.0011238512040398164,0.6089604867581871,0.0025798765368890476,0.0025399209738161126,0.002594673072598777,0.02122275930641519,0.9788982668526229
0.05,0.0011238512040398164,0.6334508680734382,0.0025798755510927016,0.002539920994737431,0.002594673072598777,0.02122275930641519,0.978898274915804
0.05,0.0011238512040398164,0.6589261717112513,0.0025798744844138027,0.0025399210173753005,0.002594673072598777,0.02122275930641519,0.9788982836405522
0.05,0.0011238512040398164,0.6854260079973701,0.0025798733302171634,0.0025399210418705384,0.002594673072598777,0.02122275930641519,0.9788982930811396
0.05,0.0011238512040398164,0.7129915802541322,0.002579872081321339,0.0025399210683755536,0.002594673072598777,0.02122275930641519,0.9788983032963052
0.05,0.0011238512040398164,0.7416657488655366,0.0025798707299398834,0.002539921097055597,0.002594673072598777,0.02122275930641519,0.9788983143497376
0.05,0.0011238512040398164,0.7714930979187944,0.0025798692676992857,0.0025399211280883773,0.002594673072598777,0.02122275930641519,0.9788983263099266
0.05,0.0011238512040398164,0.8025200045259849,0.0025798676854603365,0.0025399211616678537,0.002594673072598777,0.02122275930641519,0.978898339251625
0.05,0.0011238512040398164,0.8347947109335991,0.0025798659734121553,0.00253992119800224,0.002594673072598777,0.02122275930641519,0.9788983532550796
0.05,0.0011238512040398164,0.868367399532091,0.002579864120893787,0.0025399212373177914,0.002594673072598777,0.02122275930641519,0.97889836840749
0.05,0.0011238512040398164,0.9032902708820651,0.0025798621163672145,0.0025399212798593767,0.002594673072598777,0.02122275930641519,0.97889838480323
0.05,0.0011238512040398164,0.9396176248784216,0.002579859947371084,0.0025399213258914593,0.002594673072598777,0.02122275930641519,0.9788984025442253
0.05,0.0011238512040398164,0.9774059451786528,0.0025798576004225624,0.002539921375700183,0.002594673072598777,0.02122275930641519,0.9788984217407568
0.05,0.0011238512040398164,1.0167139870265693,0.0025798550608945405,0.002539921429595975,0.002594673072598777,0.02122275930641519,0.978898442512465
0.05,0.0011238512040398164,1.0576028686080066,0.0025798523130003232,0.0025399214879138726,0.002594673072598777,0.02122275930641519,0.978898464988475
0.05,0.0011238512040398164,1.1001361660805542,0.0025798493396506387,0.002539921551016557,0.002594673072598777,0.02122275930641519,0.9788984893085657
