protocol,k,tau,contact,gamma,W,Qh,Qc,eta,power,sigma,sigma_hot,sigma_cold,residual,min_eigenvalue
linear_J,24,80,5,0.02,0.00011975227194049225,0.0001562917095586699,-3.6539437618177654e-05,0.7662100074190997,7.044251290617191e-07,0.0017002973923343915,0.0006062141470040039,0.0010940832453291663,1.694644427309793e-12,2.4845794302407366e-17
linear_J,24,80,10,0.02,0.00023611086454768695,0.000314803204323009,-7.869233977532204e-05,0.7500268780791111,1.3117270252649275e-06,0.003934193923494592,0.0011299872843770174,0.002804206639123126,1.968203378088967e-12,3.006129845672638e-17
linear_J,24,80,20,0.02,0.0004786021827247291,0.0006238111588436473,-0.0001452089761189182,0.767222862142943,2.3930109136236453e-06,0.006723258126346229,0.0022793477932743023,0.004443910333074702,1.3067325001155479e-12,6.2063243895131e-18
linear_J,24,80,40,0.02,0.0009340506932428984,0.0012050023900328126,-0.00027095169678991425,0.7751442660769029,3.8918778885120765e-06,0.012032639803581267,0.0043553537593246875,0.007677286044258467,6.593614543960004e-13,5.661432354353934e-20
linear_J,24,80,80,0.02,0.0016524495875384704,0.0021144734881505807,-0.0004620239006121102,0.7814945880375079,5.16390496105772e-06,0.01977147145932876,0.007529690486792119,0.012241780972535754,8.659739908618314e-14,1.676692261401617e-22
linear_J,24,80,160,0.02,0.002299639858420497,0.002939141964775997,-0.0006395021063555002,0.7824187759490416,4.7909163717093684e-06,0.027210936075850047,0.010436934742766281,0.016774001333078326,2.0983215252038126e-14,-1.3664056070750443e-20
spectral_smooth,24,80,5,0.02,0.0001264671717070304,0.00016009847392900437,-3.363130222197396e-05,0.7899336489810156,7.4392453945312e-07,0.0013618992980848413,0.0005511277147284025,0.0008107715833613237,1.6943113612265947e-12,-3.8004254167610454e-21
spectral_smooth,24,80,10,0.02,0.00025230075261340314,0.00031939802462132053,-6.709727200791738e-05,0.789925839123557,1.4016708478522397e-06,0.0027172518930252314,0.0010996156312239281,0.0016176362618066324,1.9573231929676948e-12,-5.889827704215144e-21
spectral_smooth,24,80,20,0.02,0.0004996467762562237,0.0006325168603374541,-0.00013287008408123047,0.7899343204695872,2.4982338812811184e-06,0.005380547653904871,0.0021781854562396164,0.003202362197670139,1.3096190926557365e-12,-7.064610281760956e-20
spectral_smooth,24,80,40,0.02,0.0009618174021432699,0.0012175972974216576,-0.00025577989527838764,0.789930631564296,4.007572508930291e-06,0.010358023310068045,0.004197523594734187,0.006160499715338521,6.588063428125797e-13,-1.6217435188149304e-19
spectral_smooth,24,80,80,0.02,0.0016809794617717653,0.0021279992188561643,-0.00044701975708439897,0.7899342475676849,5.253060818036767e-06,0.018101985472737843,0.007358267402223208,0.01074371807050764,8.681944257592665e-14,-1.9678783235636961e-19
spectral_smooth,24,80,160,0.02,0.0023331651067826616,0.00295361766235032,-0.0006204525555676584,0.7899347083826896,4.860760639130545e-06,0.02512503477738684,0.010257640386723346,0.014867394390673819,2.1094237531879856e-14,-5.795592029828681e-18
linear_J,40,20,40,0.02,0.0008093695000401838,0.0011508310982416398,-0.000341461598201456,0.7032913007623997,6.744745833668199e-06,0.019760771092125103,0.005015204956061482,0.014745566136061622,6.606937220043194e-13,6.383032031928399e-24
spectral_smooth,40,20,40,0.02,0.0009588458522745624,0.0012161305388761028,-0.0002572846866015404,0.7884399097161788,7.99038210228802e-06,0.010526836924202755,0.004213768881436384,0.00631306804276615,6.589173669239751e-13,-9.446121480365517e-23
