protocol,tau,ratio,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
linear_J,1.0,14.400000000000002,-0.04893545169625968,-0.011829135153841097,-0.03710631654241858,,0.003696371373995134,0.02011324891966665,0.03251857415058801,0.04077361381512643,0.02414039751113989,0.020302848174990756,3.7927784261435327,1.577959984899735e-11,2.6653326797295216e-27,-1.5265566588595902e-16
linear_J,1.0,14.8,-0.04898005443508158,-0.011349581580900603,-0.037630472854180974,,0.0036195511705432665,0.02011324891966665,0.03248635668595823,0.040683028149009294,0.02414039751113989,0.020233248094847486,3.8397336474512094,1.577959984899735e-11,1.3670691409926386e-26,3.469446951953614e-17
linear_J,1.0,15.2,-0.049051737688669494,-0.010837425474349127,-0.03821431221432037,,0.003525746310725192,0.02011324891966665,0.032464235079727954,0.04059347679257063,0.02414039751113989,0.02016584627590951,3.892730073236965,1.577959984899735e-11,6.433284538229847e-26,-8.326672684688674e-17
linear_J,1.0,15.600000000000001,-0.049149998893662006,-0.010291322632034139,-0.03885867626162787,,0.0034151052643523853,0.02011324891966665,0.032451855238347704,0.040504688556537397,0.02414039751113989,0.020100398272474368,3.9518376430348003,1.577959984899735e-11,2.796113742999517e-25,-4.163336342344337e-17
linear_J,1.0,16.0,-0.049274316145588415,-0.009710100304534452,-0.03956421584105396,,0.0032878049715492283,0.02011324891966665,0.032448872197470946,0.04041642619463843,0.02414039751113989,0.020036685384303123,4.017109711008737,1.577959984899735e-11,1.1291344149624723e-24,-4.85722573273506e-17
linear_J,1.0,16.400000000000002,-0.049424146534371105,-0.009092749365316344,-0.04033139716905476,,0.003144050240642466,0.02011324891966665,0.03245494785534686,0.04032848301524546,0.02414039751113989,0.019974511898087292,4.088583310596429,1.577959984899735e-11,4.259332949442417e-24,-6.245004513516506e-17
linear_J,1.0,16.8,-0.04959892572602481,-0.008438416044403707,-0.041160509681621105,,0.002984072537359543,0.02011324891966665,0.032469749343717824,0.04024067983409021,0.02414039751113989,0.019913702664355656,4.166279635093084,1.577959984899735e-11,1.508191859968003e-23,1.1796119636642288e-16
linear_J,1.0,17.2,-0.049798068494598835,-0.007746393359932602,-0.04205167513466623,,0.002808128331662974,0.02011324891966665,0.03249294790659518,0.04015286222570687,0.02414039751113989,0.01985410096084432,4.250204684163906,1.577959984899735e-11,5.0350984804981494e-23,2.0816681711721685e-17
linear_J,1.0,17.6,-0.05002096996101135,-0.007016112370549554,-0.0430048575904618,,0.002616497138574758,0.02011324891966665,0.03252421817991946,0.04006489803851418,0.02414039751113989,0.01979556660183752,4.340350033878848,1.577959984899735e-11,1.5912513123187694e-22,0.0
linear_J,1.0,18.0,-0.050267007340172254,-0.0062471333585584765,-0.04401987398161378,,0.0024094793635834263,0.02011324891966665,0.03256323778408898,0.039976675144141056,0.02414039751113989,0.019737974259810116,4.436693694597814,1.577959984899735e-11,4.777901187677101e-22,-4.85722573273506e-17
