protocol,tau,q,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
linear_J,44.48987536807413,1.0,0.0024313626773974084,0.0031606791750202756,-0.0007293164976228672,0.7692532341191546,0.0025314649971111313,4.3971187497160447e-05,5.613113221647481e-05,9.369443231481473e-05,5.2959955666339845e-05,4.83742917109098e-05,0.033423160074533276,2.6264546093557328e-11,3.098047219308876e-18,-8.760353553682876e-17
linear_J,52.51358303563761,1.180349070461125,0.002447991744216893,0.003167924684801371,-0.0007199329405844779,0.7727430377248322,0.0025314649971111313,3.6725677716065164e-05,4.6747575178085476e-05,8.060194056079953e-05,4.5751795896414254e-05,4.16378360631986e-05,0.03239423549843065,4.1792458382872155e-11,3.098047219308876e-18,-8.760353553682876e-17
linear_J,63.228523448394746,1.421189044143006,0.002522702241878505,0.003200653351356053,-0.0006779511094775481,0.7881835253448132,0.0025314649971111313,3.997011161382957e-06,4.765744071155709e-06,5.064536069721869e-06,2.617689493076495e-06,2.5852764651650115e-06,0.027786944055804147,7.259148837590601e-11,3.098047219308876e-18,-8.760353553682876e-17
linear_J,76.12975436757232,1.7111703221853238,0.002518379810335203,0.003198794894876844,-0.0006804150845416412,0.7872901805516237,0.0025314649971111313,5.8554676405919714e-06,7.2297191352488355e-06,1.0548604687510436e-05,5.680535352306415e-06,5.41223506546812e-06,0.028056572268203572,1.2976930641173112e-10,3.098047219308876e-18,-8.760353553682876e-17
linear_J,91.6633693778601,2.0603197608334414,0.0025274823797959423,0.0032028731827723478,-0.0006753908029764055,0.7891297080979648,0.0025314649971111313,1.7771797450882865e-06,2.2054375700131246e-06,3.028585683493397e-06,1.6048208512980415e-06,1.5507473132146081e-06,0.027503165512986205,2.3936708171135024e-10,3.098047219308876e-18,-8.760353553682876e-17
linear_J,110.36648358451752,2.4807101092424357,0.0025208614076404068,0.003199989614763865,-0.0006791282071234583,0.7877717465112546,0.0025314649971111313,4.6607477535709485e-06,5.942841717065939e-06,1.0122085720161067e-05,5.649685876918151e-06,5.217369324646239e-06,0.02791295052779752,4.5315973196125015e-10,3.098047219308876e-18,-8.760353553682876e-17
linear_J,132.88580576390686,2.9868774561518667,0.0025298845766108524,0.003203941834566848,-0.0006740572579559956,0.7896162624790211,0.0025314649971111313,7.085279505880671e-07,8.718925496031815e-07,1.1350980266133315e-06,5.530050315399979e-07,5.753681838082623e-07,0.027356452863513958,8.829400544030364e-10,3.098047219308876e-18,-8.760353553682876e-17
linear_J,160.0,3.596323852928025,0.002528402076946268,0.003203291491049587,-0.000674889414103319,0.7893137680448227,0.0025314649971111313,1.3588714678491876e-06,1.704048696926641e-06,2.739300621097543e-06,1.531431680207775e-06,1.41225522466069e-06,0.027447797772212068,1.7699237631063625e-09,3.098047219308876e-18,-8.760353553682876e-17
linear_b,0.0,0.0,-0.06525837443357752,-0.02056993275746699,-0.044688441676110524,,0.0025314649971111313,0.023774583119984427,0.04401525631070413,0.04855641110439233,0.027328898366190714,0.02505547295489061,4.725968327079389,1.3322676295501878e-15,3.098047219308876e-18,-8.326672684688674e-17
linear_b,0.2,0.004495404816160032,-0.064499654393126,-0.02036057944981784,-0.044139074943308154,,0.0025314649971111313,0.023565229812335275,0.04346588957790176,0.04826409134224005,0.02716838738648815,0.024905117760279077,4.6684147374535385,2.4447111002245947e-13,3.098047219308876e-18,-8.326672684688674e-17
