eps_over_Jo,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error,eps,P,W_tls,Wad_tls,L_tls,Wnorm_tls,Wnorm_spatial,delta_Wnorm,loss_spatial,loss_tls_on_spatial_budget
0.2,20.0,0.0022877815476133,0.003367038543139,-0.0010792569955256,0.6794640210683419,0.0031450502764642,0.0007040590893299,0.0001532096395209,0.0,6.863830050727441e-05,6.225020784302335e-05,0.0658377177633312,2.0421403457149268e-09,3.097140421085609e-18,-4.4669129506402777e-17,0.004495404816159266,0.03389194241922512,0.0024391828129536304,0.003233501653897562,0.02343680486407756,0.7543471672616946,0.7274228856478956,-0.026924281613799006,0.0008572687288508998,0.0007058674635105695
0.2,40.0,0.0024188478464467,0.0034295160632243,-0.0010106682167776,0.7053029645741257,0.0031450502764642,0.0006415815692445,8.462086077287712e-05,0.0,3.955417118066311e-07,3.576410120320689e-07,0.0581978708874594,5.019038851195034e-09,3.097140421085609e-18,-4.4669129506402777e-17,0.004495404816159266,0.03334515383514715,0.0024519977903005707,0.003233501653897562,0.02343680486407756,0.7583103560021406,0.7690967182776081,0.010786362275467476,0.0007262024300174999,0.0006930524861636293
0.2,80.0,0.0024640446091473,0.003469161111032,-0.0010051165018846,0.7102710223839639,0.0031450502764642,0.0006019365214369,7.906914587985092e-05,0.0,5.6302203888089334e-09,5.044729135417924e-09,0.0571471363005615,1.3428569922702138e-08,3.097140421085609e-18,-4.4669129506402777e-17,0.004495404816159266,0.031266744589306714,0.0025007090622230278,0.003233501653897562,0.02343680486407756,0.7733749136044977,0.7834674782743011,0.01009256466980335,0.0006810056673168998,0.0006443412142411722
0.4,5.0,-0.0168542532453311,-0.0039304821183459,-0.0129237711269852,,0.0044452681849934,0.0100577926567304,0.0112417287735944,0.0,0.0102511473471923,0.0094983134443178,1.341508139177852,3.95037336176074e-11,3.0944226464928672e-18,1.457167719820518e-16,0.008990809632318532,0.08648983649809865,0.0021229332562724464,0.004639679562102992,0.02909875203528535,0.45756031809020037,-3.7915042566450063,-4.249064574735207,0.0212995214303245,0.002322334928720954
0.4,10.0,-0.0005232571123311,0.002903176375843,-0.0034264334881741,,0.0044452681849934,0.0032241341625414,0.0017443911347833,0.0,0.0014546612320087,0.0013411064946313,0.3063536441193795,6.03013639022265e-10,3.0944226464928672e-18,1.474514954580286e-16,0.008990809632318532,0.08638222802679166,0.0021260645284959046,0.004639679562102992,0.02909875203528535,0.45823520784962135,-0.11771103352043918,-0.5759462413700606,0.004968525297324501,0.002319203656497496
0.4,20.0,0.0019408298051968,0.003976920857876,-0.0020360910526792,0.488023240732379,0.0044452681849934,0.0021503896805084,0.0003540486992883,0.0,6.730587728623668e-05,6.22084758589208e-05,0.1538975945444699,2.0472114004022046e-09,3.0944226464928672e-18,1.474514954580286e-16,0.008990809632318532,0.08595331677028911,0.002138545310794015,0.004639679562102992,0.02909875203528535,0.4609252173925333,0.43660578494426233,-0.02431943244827095,0.0025044383797966007,0.0023067228741993854
0.4,40.0,0.0021043752391362,0.0040678577246769,-0.0019634824855407,0.5173178074469897,0.0044452681849934,0.0020594528137075,0.0002814401321499,0.0,3.916591035394064e-07,3.578963533015673e-07,0.1455000269956166,5.036201233821202e-09,3.0944226464928672e-18,1.474514954580286e-16,0.008990809632318532,0.08426179964085025,0.002187766348306994,0.004639679562102992,0.02909875203528535,0.47153393225185625,0.4733966886947956,0.0018627564429393728,0.0023408929458572005,0.0022575018366864062
0.4,80.0,0.0022760623230961,0.0042186226506742,-0.0019425603275781,0.539527355624562,0.0044452681849934,0.0019086878877102,0.0002605179741872,0.0,5.7406657981005635e-09,5.0634259452676945e-09,0.1415232496243826,1.3465593862171945e-08,3.0944226464928672e-18,1.474514954580286e-16,0.008990809632318532,0.07786724962004053,0.002373839773739765,0.004639679562102992,0.02909875203528535,0.5116387332283338,0.5120191242408649,0.00038039101253117824,0.0021692058618973005,0.0020714284112536355
0.7,5.0,-0.0174391117779484,-0.002271852069493,-0.0151672597084554,,0.0061034458696729,0.0119652344590709,0.0115773231885505,0.0,0.0099171760120288,0.0094848838105287,1.545124121714208,4.034017564435999e-11,3.0869689737910736e-18,8.673617379884034e-17,0.015733916856557426,0.12495087080073847,0.0014126246608936414,0.006333307141295799,0.0393809378747689,0.2230469215179445,-2.8572567284655888,-3.0803036499835335,0.023542557647621302,0.004690821208779259
0.7,10.0,-0.0013072731550751,0.0043741805727863,-0.0056814537278615,,0.0061034458696729,0.0053192018167915,0.0020915172079566,0.0,0.0013942737151176,0.0013385854843557,0.5134681156263254,6.066361857293144e-10,3.0869689737910736e-18,8.760353553682876e-17,0.015733916856557426,0.12472939654953369,0.0014213465246211976,0.006333307141295799,0.0393809378747689,0.2244240635912676,-0.21418608159871502,-0.43861014518998265,0.007410719024748,0.004682099345051703
0.7,20.0,0.0011337700663496,0.0054246965061572,-0.0042909264398075,0.2090015662743179,0.0061034458696729,0.0042686858834207,0.0007009899199026,0.0,6.417715056000863e-05,6.209400650852625e-05,0.3612839376537897,2.026825374201735e-09,3.0869689737910736e-18,8.760353553682876e-17,0.015733916856557426,0.12384746493469051,0.0014560778187551315,0.006333307141295799,0.0393809378747689,0.22990797481791117,0.1857590106570998,-0.04414896416081138,0.0049696758033233,0.004647368050917769
0.7,40.0,0.0013763571189913,0.0055837060777014,-0.0042073489587101,0.2464952667347239,0.0061034458696729,0.0041096763118765,0.0006174124388051,0.0,3.828147328098017e-07,3.585868242614061e-07,0.3509385698997433,5.054240137525312e-09,3.0869689737910736e-18,8.760353553682876e-17,0.015733916856557426,0.1203824328895481,0.0015925340304589683,0.006333307141295799,0.0393809378747689,0.2514537815598715,0.2255049276065854,-0.02594885395328614,0.0047270887506816,0.004510911839213932
0.7,80.0,0.0018501788052457,0.0059953716382549,-0.0041451928330091,0.3086011871958404,0.0061034458696729,0.003698010751323,0.0005552563131042,0.0,6.001919634860541e-09,5.112811494733143e-09,0.3395771378227316,1.3459916847757825e-08,3.0869689737910736e-18,8.760353553682876e-17,0.015733916856557426,0.10747901143996544,0.0021006828689369436,0.006333307141295799,0.0393809378747689,0.33168814050397416,0.30313675991442124,-0.02855138058955292,0.0042532670644272,0.004002763000735957
1.0,5.0,-0.0181156167483993,-0.0002646554209642,-0.0178509613274351,,0.0067580358939599,0.013009776279802,0.0118638763625574,0.0,0.0095205079292896,0.0094642256207865,1.788404325505566,4.098932304685832e-11,3.0755076300391817e-18,2.5673907444456745e-16,0.022477024080796326,0.12827486418491502,0.000610595810297391,0.006942035904103669,0.04935838470021041,0.08795630255044454,-2.680603807474656,-2.7685601100251005,0.024873652642359197,0.006147440083662509
1.0,10.0,-0.0022235477412428,0.0061593477275434,-0.0083828954687863,,0.0067580358939599,0.0065857731312944,0.0023958105039086,0.0,0.0013223203086722,0.0013347081770188,0.7612977002843413,6.09838179954636e-10,3.0755076300391817e-18,2.5500435096859064e-16,0.022477024080796326,0.12795502392383873,0.0006263826089462103,0.006942035904103669,0.04935838470021041,0.09023039027728662,-0.3290227776431508,-0.41925316792043743,0.0089815836352027,0.00613165328501369
1.0,20.0,0.0001910689267331,0.0071831597251362,-0.0069920907984031,0.0265995653785251,0.0067580358939599,0.0055619611337016,0.0010050058335254,0.0,6.045210234216107e-05,6.191794153521463e-05,0.6094195832761093,2.03114070007615e-09,3.0755076300391817e-18,2.5500435096859064e-16,0.022477024080796326,0.1266832434368119,0.0006891556394791019,0.006942035904103669,0.04935838470021041,0.09927284286612795,0.028272848758301335,-0.07099999410782662,0.0065669669672268,0.006068880254480798
1.0,40.0,0.0005342857489364,0.007426091487927,-0.0068918057389906,0.0719471002754341,0.0067580358939599,0.0053190293709108,0.0009047207741129,0.0,3.729117188765965e-07,3.5962051663583535e-07,0.5963544302999737,5.053983120895111e-09,3.0755076300391817e-18,2.5500435096859064e-16,0.022477024080796326,0.1217155386416397,0.0009343535238362909,0.006942035904103669,0.04935838470021041,0.13459358850102798,0.07905932393965623,-0.055534264561371754,0.0062237501450235,0.005823682370123609
1.0,80.0,0.0013785179409349,0.0081473461984827,-0.0067688282575477,0.1691983999884139,0.0067580358939599,0.0045977746603551,0.0007817432926701,0.0,6.314681232881284e-09,5.1835008025950955e-09,0.5750409982737424,1.3469447890379628e-08,3.0755076300391817e-18,2.5500435096859064e-16,0.022477024080796326,0.10364109150857892,0.00182647903867352,0.006942035904103669,0.04935838470021041,0.26310423396021726,0.20398203894817604,-0.05912219501204122,0.0053795179530249995,0.00493155685528638
