alpha,width,tc,th,protocol,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
2.6,0.5,0.0061944801692219355,0.04821766925026458,smooth_b,10,4.2818146106404775e-05,0.0012451373757739193,-0.0012023192296675145,0.034388290753693755,0.001524724126808466,0.0006652492574661939,0.0008166567232359423,0.0014776511951263137,0.0008769035930882385,0.0007910549017403735,0.1682719991942414,1.126887283486866e-08,6.346299838785945e-57,7.502679033599691e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,smooth_b,20,0.0014574821536652016,0.0018802443512858091,-0.0004227621976206075,0.7751557145583229,0.001524724126808466,3.0142281954304018e-05,3.709969118903533e-05,6.72037111843345e-05,3.99094696222759e-05,3.597814151024496e-05,0.029253288220047816,3.502412049272152e-08,6.346299838785945e-57,7.502679033599691e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,smooth_b,40,0.001524269729206884,0.0019101829841467466,-0.0003859132549398625,0.7979705304975037,0.001524724126808466,2.0364909336656467e-07,2.507485082903216e-07,4.538709015706233e-07,2.6928709833269274e-07,2.429761226904547e-07,0.022683708442989184,9.683472790289471e-08,6.346299838785945e-57,7.502679033599691e-17
2.6,0.5,0.0061944801692219355,0.04821766925026458,smooth_b,80,0.001524716387225511,0.0019103831642806046,-0.00038566677705509367,0.798120720352807,0.001524724126808466,3.4689595085346525e-09,4.270623521485106e-09,7.728767661092163e-09,4.5872893412775066e-09,4.1375884862800224e-09,0.022639766927754226,2.2793959597589009e-07,6.346299838785945e-57,7.502679033599691e-17
2.4,0.4,0.014721399230383594,0.0880809136680965,linear_J,0,-0.04960059366858738,-0.015151484396267956,-0.03444910927231942,,0.002534599981158144,0.018742049027497543,0.03339314462224785,0.035157484918730726,0.020927638151514806,0.019017616242056893,2.5120881040367093,9.992007221626409e-16,5.260267466811593e-34,-1.249000902703301e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,linear_J,5,-0.0018938753264607922,0.0015532258317016434,-0.0034471011581624356,,0.002534599981158144,0.0020373387995279435,0.002391136508090863,0.0040435048980338095,0.002423443856270821,0.0021899336256650625,0.21652173032556404,1.8214540986605243e-11,5.260267466811593e-34,-1.2967057982926633e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,linear_J,10,0.0011775055077157814,0.002980830682298763,-0.0018033251745829815,0.3950259619602783,0.002534599981158144,0.000609733948930824,0.000747360524511409,0.0013218826470300842,0.0007898396928818644,0.0007155277215438833,0.08865490044558812,9.583800419932231e-11,5.260267466811593e-34,-1.2967057982926633e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,linear_J,20,0.0023221780249410573,0.0034944657962885928,-0.0011722877713475355,0.6645301915409787,0.002534599981158144,9.609883494099414e-05,0.000116323121275963,0.0002018623083999225,0.00011928907853580727,0.00010905081808366267,0.0399581854213665,6.579476963253228e-10,5.260267466811593e-34,-1.2967057982926633e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,linear_J,40,0.0024340683488015546,0.003545277266218283,-0.0011112089174167283,0.6865664279617697,0.002534599981158144,4.5287365011303926e-05,5.524426734515586e-05,9.72991445720457e-05,5.828514844891857e-05,5.269158027131968e-05,0.03523232849687804,5.171574390949729e-09,5.260267466811593e-34,-1.2967057982926633e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,linear_J,80,0.0025311797596208607,0.0035889626163979615,-0.0010577828567771008,0.7052677974565426,0.002534599981158144,1.6020148316253646e-06,1.8182067055283468e-06,1.8197095999861872e-06,9.698061615132389e-07,9.658475050727828e-07,0.031107217250927813,4.1341360335067634e-08,5.260267466811593e-34,-1.2967057982926633e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,smooth_b,0,-0.04960059366858738,-0.015151484396267956,-0.03444910927231942,,0.002534599981158144,0.018742049027497543,0.03339314462224785,0.035157484918730726,0.020927638151514806,0.019017616242056893,2.5120881040367093,9.992007221626409e-16,5.260267466811593e-34,-1.249000902703301e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,smooth_b,5,-0.011756678011020316,-0.0026435260700586327,-0.009113151940961683,,0.002534599981158144,0.00623409070128822,0.008057187290890111,0.013864504744470851,0.008294999896581189,0.00750654015383751,0.6490536254625179,2.597560055939141e-09,5.260267466811593e-34,-1.3010426069826053e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,smooth_b,10,0.0004478231571988234,0.0026533235670510025,-0.002205500409852179,0.1687781930405683,0.002534599981158144,0.0009372410641785844,0.0011495357597806066,0.0020839555057033565,0.0012542619259548857,0.0011295127826381173,0.11969224369863911,9.1893556097844e-09,5.260267466811593e-34,-1.2967057982926633e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,smooth_b,20,0.002449089513424485,0.003552206681157799,-0.001103117167733314,0.6894558040260861,0.002534599981158144,3.835795007178788e-05,4.7152517661741555e-05,8.546685504863519e-05,5.143609833498753e-05,4.632283081063059e-05,0.0346039984741531,2.910652774357203e-08,5.260267466811593e-34,-1.2967057982926633e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,smooth_b,40,0.0025339703448764572,0.0035902821750115055,-0.0010563118301350483,0.7057858467261942,0.002534599981158144,2.824562180814283e-07,3.471800634757827e-07,6.289287648280745e-07,3.7864637473847635e-07,3.4090091032517405e-07,0.030992311664821345,8.652337146752842e-08,5.260267466811593e-34,-1.2967057982926633e-16
2.4,0.4,0.014721399230383594,0.0880809136680965,smooth_b,80,0.002534589675521892,0.003590560008648047,-0.001055970333126155,0.705903722376789,0.002534599981158144,4.622581539770465e-09,5.683054582483749e-09,1.0299815496485518e-08,6.199259569515678e-09,5.582568593903617e-09,0.030965960044694783,2.2586062919938144e-07,5.260267466811593e-34,-1.2967057982926633e-16
